Date,ETH_price
04/07/2021,2321.724121
05/07/2021,2198.58252
06/07/2021,2324.679443
07/07/2021,2315.161865
08/07/2021,2120.026367
09/07/2021,2146.692383
10/07/2021,2111.403564
11/07/2021,2139.664795
12/07/2021,2036.721069
13/07/2021,1940.083984
14/07/2021,1994.331299
15/07/2021,1911.175659
16/07/2021,1880.382935
17/07/2021,1898.825195
18/07/2021,1895.552124
19/07/2021,1817.296631
20/07/2021,1787.510742
21/07/2021,1990.970825
22/07/2021,2025.202759
23/07/2021,2124.776611
24/07/2021,2189.21875
25/07/2021,2191.373779
26/07/2021,2233.366699
27/07/2021,2298.333496
28/07/2021,2296.54541
29/07/2021,2380.956787
30/07/2021,2466.961426
31/07/2021,2536.209961
01/08/2021,2561.852051
02/08/2021,2610.15332
03/08/2021,2502.349609
04/08/2021,2724.619873
05/08/2021,2827.328857
06/08/2021,2890.94165
07/08/2021,3157.23877
08/08/2021,3013.732666
09/08/2021,3167.856201
10/08/2021,3141.691162
11/08/2021,3164.245117
12/08/2021,3043.414307
13/08/2021,3322.21167
14/08/2021,3265.443359
15/08/2021,3310.50415
16/08/2021,3156.509521
17/08/2021,3014.845947
18/08/2021,3020.089844
19/08/2021,3182.702148
20/08/2021,3286.935303
21/08/2021,3226.083984
22/08/2021,3242.115479
23/08/2021,3319.257324
24/08/2021,3172.456299
25/08/2021,3224.915283
26/08/2021,3100.325439
27/08/2021,3270.60083
28/08/2021,3244.40332
29/08/2021,3227.002686
30/08/2021,3224.374268
31/08/2021,3433.732666
01/09/2021,3834.828125
02/09/2021,3790.98999
03/09/2021,3940.614746
04/09/2021,3887.828369
05/09/2021,3952.133545
06/09/2021,3928.379395
07/09/2021,3426.394287
08/09/2021,3497.315186
09/09/2021,3427.340088
10/09/2021,3211.505859
11/09/2021,3270.278076
12/09/2021,3410.134521
13/09/2021,3285.511719
14/09/2021,3429.169678
15/09/2021,3615.282715
16/09/2021,3571.294922
17/09/2021,3398.538818
18/09/2021,3432.018311
19/09/2021,3329.447998
20/09/2021,2958.993408
21/09/2021,2764.431152
22/09/2021,3077.86792
23/09/2021,3155.523682
24/09/2021,2931.669189
25/09/2021,2925.565674
26/09/2021,3062.265381
27/09/2021,2934.138916
28/09/2021,2807.296631
29/09/2021,2853.143311
30/09/2021,3001.678955
01/10/2021,3307.516113
02/10/2021,3391.694336
03/10/2021,3418.358643
04/10/2021,3380.089111
05/10/2021,3518.518555
06/10/2021,3580.562012
07/10/2021,3587.974854
08/10/2021,3563.759277
09/10/2021,3575.716797
10/10/2021,3425.852783
11/10/2021,3545.354004
12/10/2021,3492.573242
13/10/2021,3606.20166
14/10/2021,3786.01416
15/10/2021,3862.634766
16/10/2021,3830.38208
17/10/2021,3847.104492
18/10/2021,3748.760254
19/10/2021,3877.650879
20/10/2021,4155.992188
