Date,Change %
"Feb 28, 2020",0.55 %
"Feb 27, 2020",0.32 %
"Feb 26, 2020",0.28 %
"Feb 25, 2020",0.31 %
"Feb 24, 2020",-0.03 %
"Feb 21, 2020",0.17 %
"Feb 20, 2020",-0.21 %
"Feb 19, 2020",-0.21 %
"Feb 18, 2020",0.17 %
"Feb 17, 2020",0.08 %
"Feb 14, 2020",-0.11 %
"Feb 13, 2020",0.09 %
"Feb 12, 2020",-0.06 %
"Feb 11, 2020",-0.46 %
"Feb 10, 2020",-0.05 %
"Feb 07, 2020",0.24 %
"Feb 06, 2020",-0.13 %
"Feb 05, 2020",-0.32 %
"Feb 04, 2020",-0.34 %
"Feb 03, 2020",0.37 %
"Jan 31, 2020",0.04 %
"Jan 30, 2020",0.20 %
"Jan 29, 2020",-0.56 %
"Jan 28, 2020",-0.07 %
"Jan 27, 2020",0.66 %
"Jan 24, 2020",0.12 %
"Jan 23, 2020",0.17 %
"Jan 22, 2020",0.05 %
"Jan 21, 2020",0.19 %
"Jan 20, 2020",-0.03 %
"Jan 17, 2020",-0.24 %
"Jan 16, 2020",-0.45 %
"Jan 15, 2020",-0.13 %
"Jan 14, 2020",0.33 %
"Jan 13, 2020",0.16 %
"Jan 10, 2020",0.35 %
"Jan 09, 2020",-0.44 %
"Jan 08, 2020",-0.70 %
"Jan 07, 2020",0.02 %
"Jan 06, 2020",-0.57 %
"Jan 03, 2020",0.00 %
"Jan 02, 2020",0.00 %
"Jan 01, 2020",0.02 %
