Date,Open,High,Low,Close
01/12/2021,832.1,832.1,832.1,832.1
01/11/2021,830.79,830.79,830.79,830.79
01/08/2021,834.59,834.59,834.59,834.59
01/07/2021,822.59,822.59,822.59,822.59
01/06/2021,821.78,821.78,821.78,821.78
01/05/2021,809.06,809.06,809.06,809.06
01/04/2021,781.78,781.78,781.78,781.78
12/31/2020,813.7,813.7,813.7,813.7
12/30/2020,819.28,819.28,819.28,819.28
12/29/2020,810.96,810.96,810.96,810.96
12/28/2020,826.81,826.81,826.81,826.81
12/25/2020,827.35,827.35,827.35,827.35
12/24/2020,827.35,827.35,827.35,827.35
12/23/2020,836.89,836.89,836.89,836.89
12/22/2020,819.9,819.9,819.9,819.9
12/21/2020,825.85,825.85,825.85,825.85
12/18/2020,842.32,842.32,842.32,842.32
12/17/2020,843.68,843.68,843.68,843.68
12/16/2020,837.29,837.29,837.29,837.29
12/15/2020,823.01,823.01,823.01,823.01
12/14/2020,799.72,799.72,799.72,799.72
12/11/2020,805.12,805.12,805.12,805.12
12/10/2020,816.93,816.93,816.93,816.93
12/09/2020,807.09,807.09,807.09,807.09
12/08/2020,816.04,816.04,816.04,816.04
12/07/2020,804.94,804.94,804.94,804.94
12/04/2020,820.41,820.41,820.41,820.41
12/03/2020,803,803,803,803
12/02/2020,793.71,793.71,793.71,793.71
12/01/2020,783.64,783.64,783.64,783.64
11/30/2020,779.41,779.41,779.41,779.41
11/27/2020,790.12,790.12,790.12,790.12
11/26/2020,778.65,778.65,778.65,778.65
11/25/2020,778.65,778.65,778.65,778.65
11/24/2020,779.81,779.81,779.81,779.81
11/23/2020,753.96,753.96,753.96,753.96
11/20/2020,750.99,750.99,750.99,750.99
11/19/2020,774.87,774.87,774.87,774.87
11/18/2020,754.44,754.44,754.44,754.44
11/17/2020,747.78,747.78,747.78,747.78
11/16/2020,739.14,739.14,739.14,739.14
11/13/2020,730.59,730.59,730.59,730.59
11/12/2020,693.74,693.74,693.74,693.74
11/11/2020,709.47,709.47,709.47,709.47
11/10/2020,722.44,722.44,722.44,722.44
11/09/2020,731.96,731.96,731.96,731.96
11/06/2020,667.6,667.6,667.6,667.6
11/05/2020,669.91,669.91,669.91,669.91
11/04/2020,635.89,635.89,635.89,635.89
11/03/2020,624.18,624.18,624.18,624.18
11/02/2020,610.53,610.53,610.53,610.53
10/30/2020,597.59,597.59,597.59,597.59
10/29/2020,608.58,608.58,608.58,608.58
10/28/2020,600.52,600.52,600.52,600.52
10/27/2020,619.08,619.08,619.08,619.08
10/26/2020,637.24,637.24,637.24,637.24
10/23/2020,666.21,666.21,666.21,666.21
10/22/2020,659.14,659.14,659.14,659.14
10/21/2020,625.54,625.54,625.54,625.54
10/20/2020,630.87,630.87,630.87,630.87
10/19/2020,627.66,627.66,627.66,627.66
10/16/2020,634.96,634.96,634.96,634.96
10/15/2020,639.21,639.21,639.21,639.21
10/14/2020,641.42,641.42,641.42,641.42
