Date,ETH_price,ETH_ret
24/11/2020,603.897766,0.003264357
25/11/2020,570.686646,0.024565713
26/11/2020,518.801147,0.041396783
27/11/2020,517.493713,0.00109585
28/11/2020,538.229797,-0.017062659
29/11/2020,575.758057,-0.029272287
30/11/2020,614.842529,-0.028523876
01/12/2020,587.324158,0.019886036
02/12/2020,598.352356,-0.008079141
03/12/2020,616.70874,-0.013123098
04/12/2020,569.354187,0.034697585
05/12/2020,596.595459,-0.020297425
06/12/2020,601.908997,-0.003850892
07/12/2020,591.843384,0.007324038
08/12/2020,554.827759,0.028048616
09/12/2020,573.479126,-0.014359433
10/12/2020,559.678528,0.010578969
11/12/2020,545.797363,0.010907213
12/12/2020,568.567322,-0.017750462
13/12/2020,589.663208,-0.015822136
14/12/2020,586.011169,0.002698137
15/12/2020,589.355591,-0.002471514
16/12/2020,636.181824,-0.033203849
17/12/2020,642.868958,-0.004541199
18/12/2020,654.811951,-0.007994142
19/12/2020,659.297913,-0.002965104
20/12/2020,638.290833,0.014063094
21/12/2020,609.817871,0.01981846
22/12/2020,634.854187,-0.017473841
23/12/2020,583.7146,0.036473432
24/12/2020,611.607178,-0.020272018
25/12/2020,626.410706,-0.010386598
26/12/2020,635.835815,-0.006485815
27/12/2020,682.642334,-0.030848231
28/12/2020,730.397339,-0.029365965
29/12/2020,731.520142,-0.000667106
30/12/2020,751.618958,-0.011771437
31/12/2020,737.803406,0.00805707
01/01/2021,730.367554,0.004399184
02/01/2021,774.534973,-0.025499561
03/01/2021,975.50769,-0.100189665
04/01/2021,1040.233032,-0.027899943
05/01/2021,1100.006104,-0.024264455
06/01/2021,1207.112183,-0.040352538
07/01/2021,1225.678101,-0.006628794
08/01/2021,1224.197144,0.000525065
09/01/2021,1281.077271,-0.019723964
10/01/2021,1262.246704,0.006431081
11/01/2021,1090.145386,0.063659824
12/01/2021,1043.43457,0.0190192
13/01/2021,1130.73938,-0.034897296
14/01/2021,1218.453003,-0.032446265
15/01/2021,1171.834595,0.016942468
16/01/2021,1233.537598,-0.022286076
17/01/2021,1230.172241,0.001186468
18/01/2021,1257.279541,-0.009465926
19/01/2021,1377.295898,-0.039595405
20/01/2021,1382.274048,-0.0015669
21/01/2021,1121.570923,0.090767413
22/01/2021,1236.512207,-0.042371667
23/01/2021,1230.990601,0.001943671
24/01/2021,1391.609375,-0.053262609
25/01/2021,1324.414795,0.021493322
26/01/2021,1357.058105,-0.01057442
27/01/2021,1253.187134,0.034582516
28/01/2021,1332.492188,-0.026648744
29/01/2021,1382.522827,-0.016007639
30/01/2021,1376.115479,0.002017431
31/01/2021,1314.986206,0.019733683
01/02/2021,1369.040527,-0.017495107
02/02/2021,1515.193726,-0.044051859
03/02/2021,1660.909546,-0.039877818
04/02/2021,1594.762695,0.017649913
05/02/2021,1718.650879,-0.032491597
06/02/2021,1677.846802,0.01043536
07/02/2021,1614.227783,0.016787487
08/02/2021,1746.616821,-0.034232821
09/02/2021,1768.035034,-0.005293228
10/02/2021,1744.243408,0.005883776
11/02/2021,1783.797974,-0.009738576
12/02/2021,1843.532593,-0.014305154
13/02/2021,1814.109863,0.006987236
14/02/2021,1805.084106,0.002166142
15/02/2021,1779.791016,0.006128432
16/02/2021,1781.067505,-0.00031137
17/02/2021,1848.458252,-0.016129266
18/02/2021,1937.449219,-0.020420682
19/02/2021,1960.164795,-0.005062257
20/02/2021,1919.534058,0.009096763
21/02/2021,1935.601074,-0.003620032
22/02/2021,1781.99292,0.03590988
23/02/2021,1570.203979,0.054949901
24/02/2021,1626.575684,-0.015318202
25/02/2021,1475.703735,0.042275099
26/02/2021,1446.033691,0.008820765
27/02/2021,1459.973145,-0.004166456
28/02/2021,1416.04895,0.013266601
01/03/2021,1564.707642,-0.043354937
02/03/2021,1492.608765,0.020487216
03/03/2021,1575.853149,-0.023569756
04/03/2021,1541.914307,0.009455506
05/03/2021,1533.275024,0.002440177
06/03/2021,1654.741577,-0.033110118
07/03/2021,1723.153809,-0.017593865
08/03/2021,1834.727905,-0.027247622
09/03/2021,1868.048828,-0.007816558
10/03/2021,1799.16626,0.016316926
11/03/2021,1826.194946,-0.006475838
12/03/2021,1772.102417,0.013058319
13/03/2021,1924.685425,-0.03587094
14/03/2021,1854.564331,0.016117855
15/03/2021,1791.702271,0.014976059
16/03/2021,1806.971802,-0.003685531
17/03/2021,1823.449341,-0.003942327
18/03/2021,1782.855103,0.009777654
19/03/2021,1817.624146,-0.008388035
20/03/2021,1812.634644,0.001193807
21/03/2021,1788.217041,0.005890047
22/03/2021,1691.333984,0.024190854
23/03/2021,1678.650146,0.003269183
24/03/2021,1593.413452,0.022631713
25/03/2021,1595.359253,-0.000530016
26/03/2021,1702.842041,-0.028315868
27/03/2021,1716.494629,-0.003468085
28/03/2021,1691.355957,0.006407431
29/03/2021,1819.684937,-0.031761183
30/03/2021,1846.033691,-0.006243423
31/03/2021,1918.362061,-0.016690954
01/04/2021,1977.276855,-0.013136906
02/04/2021,2143.225586,-0.035000403
03/04/2021,2028.422485,0.023909469
04/04/2021,2093.122803,-0.013636293
05/04/2021,2107.887207,-0.003052659
06/04/2021,2118.378906,-0.002156275
07/04/2021,1971.077271,0.031299993
08/04/2021,2088.57373,-0.025146161
09/04/2021,2072.108887,0.003437238
10/04/2021,2135.942139,-0.01317691
11/04/2021,2157.656982,-0.004392919
12/04/2021,2139.353271,0.003699898
13/04/2021,2299.187744,-0.03129193
14/04/2021,2435.10498,-0.024943253
15/04/2021,2519.116211,-0.014730514
16/04/2021,2431.946533,0.01529418
17/04/2021,2344.89502,0.015830618
18/04/2021,2237.136963,0.020430831
19/04/2021,2166.188721,0.013996283
20/04/2021,2330.210938,-0.031698946
21/04/2021,2364.751709,-0.006390311
22/04/2021,2403.535156,-0.007064931
23/04/2021,2363.586182,0.007279037
24/04/2021,2211.625732,0.028859808
25/04/2021,2316.05957,-0.020038091
26/04/2021,2534.481689,-0.039139432
27/04/2021,2662.865234,-0.02146003
28/04/2021,2746.380127,-0.01341146
29/04/2021,2756.876953,-0.001656735
30/04/2021,2773.207031,-0.00256491
01/05/2021,2945.892822,-0.02623465
02/05/2021,2952.056152,-0.000907672
03/05/2021,3431.086182,-0.065307013
04/05/2021,3253.629395,0.023063544
05/05/2021,3522.783203,-0.034517834
06/05/2021,3490.880371,0.003950951
07/05/2021,3484.729004,0.000765956
08/05/2021,3902.647705,-0.049190339
09/05/2021,3928.844727,-0.002905516
10/05/2021,3952.293945,-0.002584372
11/05/2021,4168.701172,-0.023151527
12/05/2021,3785.848633,0.041837519
13/05/2021,3715.148438,0.008187075
14/05/2021,4079.057373,-0.040583643
15/05/2021,3638.12207,0.049682547
16/05/2021,3587.506104,0.006084618
17/05/2021,3282.397705,0.038601448
18/05/2021,3380.070068,-0.012734503
19/05/2021,2460.679199,0.137870705
20/05/2021,2784.294189,-0.053660123
21/05/2021,2430.621338,0.058997815
22/05/2021,2295.705566,0.024801119
23/05/2021,2109.579834,0.036720222
24/05/2021,2643.591064,-0.09799831
25/05/2021,2706.628906,-0.01023444
26/05/2021,2888.69873,-0.028273535
27/05/2021,2736.488525,0.023508619
28/05/2021,2419.90625,0.05339509
29/05/2021,2279.51416,0.025956247
30/05/2021,2390.30542,-0.020611102
31/05/2021,2714.945313,-0.05530769
01/06/2021,2633.518311,0.013224744
02/06/2021,2706.125,-0.011811511
03/06/2021,2855.126465,-0.023277496
04/06/2021,2688.195068,0.02616457
05/06/2021,2630.576904,0.009409777
06/06/2021,2715.092773,-0.013733671
07/06/2021,2590.263184,0.020440781
08/06/2021,2517.438721,0.012384985
09/06/2021,2608.26709,-0.015393154
10/06/2021,2471.518555,0.023388186
